PAYROLL,COMPONENT,GL,BRANCH,AMOUNT(SLL)
80,"Audit Allowance",143000000012,000,0.00
80,"Audit Allowance",143000000012,001,0.00
80,"Audit Allowance",143000000012,002,0.00
80,"Audit Allowance",143000000012,003,0.00
80,"Audit Allowance",143000000012,004,0.00
80,"Audit Allowance",143000000012,005,0.00
80,"Audit Allowance",143000000012,007,0.00
80,"Audit Allowance",143000000012,008,0.00
80,"Audit Allowance",143000000012,009,0.00
80,"Audit Allowance",143000000012,010,0.00
80,"Audit Allowance",143000000012,011,0.00
80,"Audit Allowance",143000000012,012,0.00
80,"Audit Allowance",143000000012,013,0.00
80,"Audit Allowance",143000000012,014,0.00
80,"Audit Allowance",143000000012,015,0.00
80,"Audit Allowance",143000000012,016,0.00
80,"Audit Allowance",143000000012,017,0.00
80,"Basic Salary",143000000009,000,3204514096.48
80,"Basic Salary",143000000009,001,1110328979.48
80,"Basic Salary",143000000009,002,148821352.88
80,"Basic Salary",143000000009,003,359966257.42
80,"Basic Salary",143000000009,004,148608623.12
80,"Basic Salary",143000000009,005,166336734.26
80,"Basic Salary",143000000009,007,129551565.16
80,"Basic Salary",143000000009,008,119465852.48
80,"Basic Salary",143000000009,009,69169160.34
80,"Basic Salary",143000000009,010,98369988.68
80,"Basic Salary",143000000009,011,370338812.76
80,"Basic Salary",143000000009,012,148358408.50
80,"Basic Salary",143000000009,013,158226444.62
80,"Basic Salary",143000000009,014,77666389.10
80,"Basic Salary",143000000009,015,60950225.38
80,"Basic Salary",143000000009,016,94449230.24
80,"Basic Salary",143000000009,017,198839959.00
80,"Car Allowance",143000000012,000,91378917.56
80,"Car Allowance",143000000012,001,6527065.54
80,"Car Allowance",143000000012,002,6527065.54
80,"Car Allowance",143000000012,003,0.00
80,"Car Allowance",143000000012,004,0.00
80,"Car Allowance",143000000012,005,0.00
80,"Car Allowance",143000000012,007,0.00
80,"Car Allowance",143000000012,008,6290303.26
80,"Car Allowance",143000000012,009,0.00
80,"Car Allowance",143000000012,010,0.00
80,"Car Allowance",143000000012,011,6527065.54
80,"Car Allowance",143000000012,012,0.00
80,"Car Allowance",143000000012,013,6527065.54
80,"Car Allowance",143000000012,014,0.00
80,"Car Allowance",143000000012,015,0.00
80,"Car Allowance",143000000012,016,0.00
80,"Car Allowance",143000000012,017,6527065.54
80,"Displacement Allowance",143000000012,000,0.00
80,"Displacement Allowance",143000000012,001,0.00
80,"Displacement Allowance",143000000012,002,0.00
80,"Displacement Allowance",143000000012,003,15884152.56
80,"Displacement Allowance",143000000012,004,9646714.74
80,"Displacement Allowance",143000000012,005,1623101.38
80,"Displacement Allowance",143000000012,007,1897273.52
80,"Displacement Allowance",143000000012,008,0.00
80,"Displacement Allowance",143000000012,009,8226103.94
80,"Displacement Allowance",143000000012,010,4908091.44
80,"Displacement Allowance",143000000012,011,1623101.38
80,"Displacement Allowance",143000000012,012,17385694.06
80,"Displacement Allowance",143000000012,013,0.00
80,"Displacement Allowance",143000000012,014,6531192.82
80,"Displacement Allowance",143000000012,015,10418562.72
80,"Displacement Allowance",143000000012,016,0.00
80,"Displacement Allowance",143000000012,017,0.00
80,"Duty Allowance",143000000012,000,4637882.28
80,"Duty Allowance",143000000012,001,0.00
80,"Duty Allowance",143000000012,002,0.00
80,"Duty Allowance",143000000012,003,0.00
80,"Duty Allowance",143000000012,004,0.00
80,"Duty Allowance",143000000012,005,0.00
80,"Duty Allowance",143000000012,007,277155.84
80,"Duty Allowance",143000000012,008,0.00
80,"Duty Allowance",143000000012,009,0.00
80,"Duty Allowance",143000000012,010,0.00
80,"Duty Allowance",143000000012,011,0.00
80,"Duty Allowance",143000000012,012,0.00
80,"Duty Allowance",143000000012,013,0.00
80,"Duty Allowance",143000000012,014,0.00
80,"Duty Allowance",143000000012,015,0.00
80,"Duty Allowance",143000000012,016,0.00
80,"Duty Allowance",143000000012,017,332606.32
80,"Gross After NASSIT",,000,3970333368.84
80,"Gross After NASSIT",,001,1364003934.30
80,"Gross After NASSIT",,002,179554154.08
80,"Gross After NASSIT",,003,414757619.22
80,"Gross After NASSIT",,004,191842820.56
80,"Gross After NASSIT",,005,209030950.58
80,"Gross After NASSIT",,007,158477170.02
80,"Gross After NASSIT",,008,155825686.08
80,"Gross After NASSIT",,009,94830026.44
80,"Gross After NASSIT",,010,122222642.32
80,"Gross After NASSIT",,011,444688724.82
80,"Gross After NASSIT",,012,203104148.46
80,"Gross After NASSIT",,013,193250688.24
80,"Gross After NASSIT",,014,102572041.88
80,"Gross After NASSIT",,015,89694753.84
80,"Gross After NASSIT",,016,117891974.30
80,"Gross After NASSIT",,017,241051639.00
80,"Gross Salary",,000,4130559073.48
80,"Gross Salary",,001,1419520383.34
80,"Gross Salary",,002,186995221.70
80,"Gross Salary",,003,432755932.10
80,"Gross Salary",,004,199273251.70
80,"Gross Salary",,005,217194703.96
80,"Gross Salary",,007,164954748.26
80,"Gross Salary",,008,161798978.74
80,"Gross Salary",,009,98288484.46
80,"Gross Salary",,010,127141141.72
80,"Gross Salary",,011,463205665.42
80,"Gross Salary",,012,210522068.88
80,"Gross Salary",,013,201162010.46
80,"Gross Salary",,014,106455361.34
80,"Gross Salary",,015,91505639.34
80,"Gross Salary",,016,122614435.78
80,"Gross Salary",,017,250993636.96
80,"Junior Staff Association",0201300232901,000,3300000.00
80,"Junior Staff Association",0201300232901,001,2790000.00
80,"Junior Staff Association",0201300232901,002,330000.00
80,"Junior Staff Association",0201300232901,003,540000.00
80,"Junior Staff Association",0201300232901,004,390000.00
80,"Junior Staff Association",0201300232901,005,510000.00
80,"Junior Staff Association",0201300232901,007,300000.00
80,"Junior Staff Association",0201300232901,008,270000.00
80,"Junior Staff Association",0201300232901,009,180000.00
80,"Junior Staff Association",0201300232901,010,150000.00
80,"Junior Staff Association",0201300232901,011,750000.00
80,"Junior Staff Association",0201300232901,012,420000.00
80,"Junior Staff Association",0201300232901,013,360000.00
80,"Junior Staff Association",0201300232901,014,120000.00
80,"Junior Staff Association",0201300232901,015,210000.00
80,"Junior Staff Association",0201300232901,016,240000.00
80,"Junior Staff Association",0201300232901,017,390000.00
80,Lunch,143000000012,000,121975479.44
80,Lunch,143000000012,001,63397111.04
80,Lunch,143000000012,002,8400300.04
80,Lunch,143000000012,003,12581344.52
80,Lunch,143000000012,004,9285548.02
80,Lunch,143000000012,005,11263025.92
80,Lunch,143000000012,007,7308070.12
80,Lunch,143000000012,008,5989751.52
80,Lunch,143000000012,009,3954955.80
80,Lunch,143000000012,010,4012273.62
80,Lunch,143000000012,011,18345007.36
80,Lunch,143000000012,012,9944707.32
80,Lunch,143000000012,013,8400300.04
80,Lunch,143000000012,014,3353114.32
80,Lunch,143000000012,015,4614115.10
80,Lunch,143000000012,016,5989751.52
80,Lunch,143000000012,017,9775936.46
80,"Medical Scheme",143000000016,000,7300000.00
80,"Medical Scheme",143000000016,001,4320000.00
80,"Medical Scheme",143000000016,002,540000.00
80,"Medical Scheme",143000000016,003,820000.00
80,"Medical Scheme",143000000016,004,620000.00
80,"Medical Scheme",143000000016,005,780000.00
80,"Medical Scheme",143000000016,007,500000.00
80,"Medical Scheme",143000000016,008,460000.00
80,"Medical Scheme",143000000016,009,240000.00
80,"Medical Scheme",143000000016,010,300000.00
80,"Medical Scheme",143000000016,011,1200000.00
80,"Medical Scheme",143000000016,012,660000.00
80,"Medical Scheme",143000000016,013,580000.00
80,"Medical Scheme",143000000016,014,260000.00
80,"Medical Scheme",143000000016,015,280000.00
80,"Medical Scheme",143000000016,016,420000.00
80,"Medical Scheme",143000000016,017,720000.00
80,"NASSIT (5%)",124300000033,000,160225704.64
80,"NASSIT (5%)",124300000033,001,55516449.04
80,"NASSIT (5%)",124300000033,002,7441067.62
80,"NASSIT (5%)",124300000033,003,17998312.88
80,"NASSIT (5%)",124300000033,004,7430431.14
80,"NASSIT (5%)",124300000033,005,8163753.38
80,"NASSIT (5%)",124300000033,007,6477578.24
80,"NASSIT (5%)",124300000033,008,5973292.66
80,"NASSIT (5%)",124300000033,009,3458458.02
80,"NASSIT (5%)",124300000033,010,4918499.40
80,"NASSIT (5%)",124300000033,011,18516940.60
80,"NASSIT (5%)",124300000033,012,7417920.42
80,"NASSIT (5%)",124300000033,013,7911322.22
80,"NASSIT (5%)",124300000033,014,3883319.46
80,"NASSIT (5%)",124300000033,015,1810885.50
80,"NASSIT (5%)",124300000033,016,4722461.48
80,"NASSIT (5%)",124300000033,017,9941997.96
80,"NASSIT 10% (Deduc)",124300000032,000,320451409.88
80,"NASSIT 10% (Deduc)",124300000032,001,111032898.14
80,"NASSIT 10% (Deduc)",124300000032,002,14882135.32
80,"NASSIT 10% (Deduc)",124300000032,003,35996625.78
80,"NASSIT 10% (Deduc)",124300000032,004,14860862.32
80,"NASSIT 10% (Deduc)",124300000032,005,16633673.44
80,"NASSIT 10% (Deduc)",124300000032,007,12955156.54
