PAYROLL,COMPONENT,GL,BRANCH,AMOUNT(SLL)
"January 2022 Salary - Contract Staff","Allowances - Contract",143000000012,"HEAD OFFICE",1699126.86
"January 2022 Salary - Contract Staff","Allowances - Contract",143000000012,"SIAKA STEVENS STREET BRANCH",20389522.32
"January 2022 Salary - Contract Staff","Allowances - Contract",143000000012,"CLOCK TOWER BRANCH",5097380.58
"January 2022 Salary - Contract Staff","Allowances - Contract",143000000012,"BO BRANCH",5097380.58
"January 2022 Salary - Contract Staff","Allowances - Contract",143000000012,"KENEMA BRANCH",3398253.72
"January 2022 Salary - Contract Staff","Allowances - Contract",143000000012,"WELLINGTON BRANCH",1699126.86
"January 2022 Salary - Contract Staff","Allowances - Contract",143000000012,"WILBERFORCE STREET BRANCH",5097380.58
"January 2022 Salary - Contract Staff","Allowances - Contract",143000000012,"KOIDU BRANCH",1699126.86
"January 2022 Salary - Contract Staff","Allowances - Contract",143000000012,"MOYAMBA BRANCH",1699126.86
"January 2022 Salary - Contract Staff","Allowances - Contract",143000000012,"PUJEHUN BRANCH",0.00
"January 2022 Salary - Contract Staff","Allowances - Contract",143000000012,"CONGO CROSS BRANCH",5097380.58
"January 2022 Salary - Contract Staff","Allowances - Contract",143000000012,"MAKENI BRANCH",1544660.78
"January 2022 Salary - Contract Staff","Allowances - Contract",143000000012,"KABALA BRANCH",0.00
"January 2022 Salary - Contract Staff","Allowances - Contract",143000000012,"KAILAHUN BRANCH",0.00
"January 2022 Salary - Contract Staff","Allowances - Contract",143000000012,"WILKINSON ROAD BRANCH",0.00
"January 2022 Salary - Contract Staff","Allowances - Contract",143000000012,"JUBA BRANCH",1699126.86
"January 2022 Salary - Contract Staff","Casual Labour",146300000024,"HEAD OFFICE",82947202.80
"January 2022 Salary - Contract Staff","Casual Labour",146300000024,"SIAKA STEVENS STREET BRANCH",49926002.14
"January 2022 Salary - Contract Staff","Casual Labour",146300000024,"CLOCK TOWER BRANCH",11833019.94
"January 2022 Salary - Contract Staff","Casual Labour",146300000024,"BO BRANCH",11631623.04
"January 2022 Salary - Contract Staff","Casual Labour",146300000024,"KENEMA BRANCH",20876212.92
"January 2022 Salary - Contract Staff","Casual Labour",146300000024,"WELLINGTON BRANCH",6078307.68
"January 2022 Salary - Contract Staff","Casual Labour",146300000024,"WILBERFORCE STREET BRANCH",11631623.04
"January 2022 Salary - Contract Staff","Casual Labour",146300000024,"KOIDU BRANCH",10480507.68
"January 2022 Salary - Contract Staff","Casual Labour",146300000024,"MOYAMBA BRANCH",3877207.68
"January 2022 Salary - Contract Staff","Casual Labour",146300000024,"PUJEHUN BRANCH",15407700.00
"January 2022 Salary - Contract Staff","Casual Labour",146300000024,"CONGO CROSS BRANCH",9631919.94
"January 2022 Salary - Contract Staff","Casual Labour",146300000024,"MAKENI BRANCH",6078307.68
"January 2022 Salary - Contract Staff","Casual Labour",146300000024,"KABALA BRANCH",2201100.00
"January 2022 Salary - Contract Staff","Casual Labour",146300000024,"KAILAHUN BRANCH",2201100.00
"January 2022 Salary - Contract Staff","Casual Labour",146300000024,"WILKINSON ROAD BRANCH",4402200.00
"January 2022 Salary - Contract Staff","Casual Labour",146300000024,"JUBA BRANCH",1676107.68
"January 2022 Salary - Contract Staff","Gross After NASSIT - Contract",,"HEAD OFFICE",80498969.52
"January 2022 Salary - Contract Staff","Gross After NASSIT - Contract",,"SIAKA STEVENS STREET BRANCH",67819224.40
"January 2022 Salary - Contract Staff","Gross After NASSIT - Contract",,"CLOCK TOWER BRANCH",16338749.53
"January 2022 Salary - Contract Staff","Gross After NASSIT - Contract",,"BO BRANCH",16147422.48
"January 2022 Salary - Contract Staff","Gross After NASSIT - Contract",,"KENEMA BRANCH",23230656.00
"January 2022 Salary - Contract Staff","Gross After NASSIT - Contract",,"WELLINGTON BRANCH",7473519.16
"January 2022 Salary - Contract Staff","Gross After NASSIT - Contract",,"WILBERFORCE STREET BRANCH",16147422.48
"January 2022 Salary - Contract Staff","Gross After NASSIT - Contract",,"KOIDU BRANCH",11655609.16
"January 2022 Salary - Contract Staff","Gross After NASSIT - Contract",,"MOYAMBA BRANCH",5382474.16
"January 2022 Salary - Contract Staff","Gross After NASSIT - Contract",,"PUJEHUN BRANCH",14637315.00
"January 2022 Salary - Contract Staff","Gross After NASSIT - Contract",,"CONGO CROSS BRANCH",14341579.76
"January 2022 Salary - Contract Staff","Gross After NASSIT - Contract",,"MAKENI BRANCH",7319053.08
"January 2022 Salary - Contract Staff","Gross After NASSIT - Contract",,"KABALA BRANCH",2091045.00
"January 2022 Salary - Contract Staff","Gross After NASSIT - Contract",,"KAILAHUN BRANCH",2091045.00
"January 2022 Salary - Contract Staff","Gross After NASSIT - Contract",,"WILKINSON ROAD BRANCH",4182090.00
"January 2022 Salary - Contract Staff","Gross After NASSIT - Contract",,"JUBA BRANCH",3291429.16
