Amount,Component,Branch
0.00,audit_allowance,"BO BRANCH"
0.00,audit_allowance,"CHARLOTTE STREET BRANCH"
0.00,audit_allowance,"CLOCK TOWER BRANCH"
0.00,audit_allowance,"CONGO CROSS BRANCH"
61888741.49,audit_allowance,"HEAD OFFICE"
0.00,audit_allowance,"JUBA BRANCH"
0.00,audit_allowance,"KAILAHUN BRANCH"
0.00,audit_allowance,"KENEMA BRANCH"
0.00,audit_allowance,"MAKENI BRANCH"
0.00,audit_allowance,"PUJEHUN BRANCH"
3263532.77,audit_allowance,"SIAKA STEVENS STREET BRANCH"
0.00,audit_allowance,"WELLINGTON BRANCH"
0.00,audit_allowance,"WILBERFORCE STREET BRANCH"
0.00,audit_allowance,"WILKINSON ROAD BRANCH"
17230071.06,"Basic Salary","BO BRANCH"
60150002.32,"Basic Salary","CONGO CROSS BRANCH"
1831271037.29,"Basic Salary","HEAD OFFICE"
194322531.28,"Basic Salary","JUBA BRANCH"
94867067.20,"Basic Salary","KENEMA BRANCH"
75037651.56,"Basic Salary","KOIDU BRANCH"
14696825.60,"Basic Salary","MAKENI BRANCH"
19537745.00,"Basic Salary","MOYAMBA BRANCH"
15622974.59,"Basic Salary","PUJEHUN BRANCH"
759555516.78,"Basic Salary","SIAKA STEVENS STREET BRANCH"
64650968.45,"Basic Salary","WELLINGTON BRANCH"
153472995.52,"Basic Salary","WILBERFORCE STREET BRANCH"
31565653.30,"Basic Salary","WILKINSON ROAD BRANCH"
,car_allowance,"BO BRANCH"
,car_allowance,"CHARLOTTE STREET BRANCH"
,car_allowance,"CLOCK TOWER BRANCH"
,car_allowance,"CONGO CROSS BRANCH"
,car_allowance,"HEAD OFFICE"
,car_allowance,"JUBA BRANCH"
,car_allowance,"KAILAHUN BRANCH"
,car_allowance,"KENEMA BRANCH"
,car_allowance,"MAKENI BRANCH"
,car_allowance,"PUJEHUN BRANCH"
,car_allowance,"SIAKA STEVENS STREET BRANCH"
,car_allowance,"WELLINGTON BRANCH"
,car_allowance,"WILBERFORCE STREET BRANCH"
,car_allowance,"WILKINSON ROAD BRANCH"
0.00,"Displacement Allowance","BO BRANCH"
0.00,"Displacement Allowance","CHARLOTTE STREET BRANCH"
426159.68,"Displacement Allowance","CLOCK TOWER BRANCH"
0.00,"Displacement Allowance","CONGO CROSS BRANCH"
2622077.29,"Displacement Allowance","HEAD OFFICE"
647226.11,"Displacement Allowance","JUBA BRANCH"
852319.36,"Displacement Allowance","KAILAHUN BRANCH"
0.00,"Displacement Allowance","KENEMA BRANCH"
0.00,"Displacement Allowance","MAKENI BRANCH"
0.00,"Displacement Allowance","PUJEHUN BRANCH"
0.00,"Displacement Allowance","SIAKA STEVENS STREET BRANCH"
0.00,"Displacement Allowance","WELLINGTON BRANCH"
0.00,"Displacement Allowance","WILBERFORCE STREET BRANCH"
0.00,"Displacement Allowance","WILKINSON ROAD BRANCH"
0.00,"Duty Allowance","BO BRANCH"
0.00,"Duty Allowance","CHARLOTTE STREET BRANCH"
415733.76,"Duty Allowance","CLOCK TOWER BRANCH"
0.00,"Duty Allowance","CONGO CROSS BRANCH"
1265719.98,"Duty Allowance","HEAD OFFICE"
166303.16,"Duty Allowance","JUBA BRANCH"
0.00,"Duty Allowance","KAILAHUN BRANCH"
0.00,"Duty Allowance","KENEMA BRANCH"
